;Gebietsname;Wahlberechtigte;Abgegebene;Ungültige;Gültige;ÖVP;SPÖ;FPÖ;GRÜNE;NEOS;KPÖ;EUROPA;
G21005;Himmelberg;1858;795;19;776;250;171;253;35;61;4;2;
G21006;Ossiach;596;325;5;320;110;47;95;43;21;3;1;
G21007;Reichenau;1458;581;19;562;189;193;129;13;30;3;5;
G21008;St. Urban;1196;521;3;518;116;123;216;31;25;3;4;
G21009;Steindorf am Ossiacher See;3008;1399;34;1365;377;367;345;123;131;9;13;
G21010;Steuerberg;1324;498;19;479;173;110;126;19;43;4;4;
G21099;Wahlkarten - Feldkirchen;0;1632;21;1611;438;525;286;199;127;13;23;
G30000;Niederösterreich;1295519;870507;16743;853764;342105;190739;152024;89731;66318;5037;7810;
G30099;Wahlkarten - Niederösterreich;0;0;0;0;0;0;0;0;0;0;0;
G3A000;Weinviertel;172538;118004;2195;115809;51647;22339;19591;11991;8547;654;1040;
G3A099;Wahlkarten - Weinviertel;0;0;0;0;0;0;0;0;0;0;0;
G3B000;Waldviertel;178048;122716;2754;119962;58973;21478;20774;9805;7413;587;932;
G3B099;Wahlkarten - Waldviertel;0;0;0;0;0;0;0;0;0;0;0;
G3C000;Mostviertel;194545;133125;3079;130046;57425;28046;22604;12029;8279;700;963;
G3C099;Wahlkarten - Mostviertel;0;0;0;0;0;0;0;0;0;0;0;
G3D000;Niederösterreich Mitte;240802;164263;2953;161310;60135;37079;26546;20668;14163;1088;1631;
G3D099;Wahlkarten - Niederösterreich Mitte;0;0;0;0;0;0;0;0;0;0;0;
G3E000;Niederösterreich Süd;160036;102031;2053;99978;36678;25436;20951;8543;6838;636;896;
G3E099;Wahlkarten - Niederösterreich Süd;0;0;0;0;0;0;0;0;0;0;0;
G3F000;Thermenregion;197955;133642;1933;131709;43867;30796;21464;18422;14861;801;1498;
G3F099;Wahlkarten - Thermenregion;0;0;0;0;0;0;0;0;0;0;0;
G3G000;Niederösterreich Ost;151595;96726;1776;94950;33380;25565;20094;8273;6217;571;850;
G3G099;Wahlkarten - Niederösterreich Ost;0;0;0;0;0;0;0;0;0;0;0;
G30100;Krems an der Donau Stadt;18105;11601;188;11413;4103;2753;1869;1476;994;95;123;
G30101;Krems an der Donau;18105;10083;181;9902;3622;2376;1708;1185;827;84;100;
G30199;Wahlkarten - Krems an der Donau Stadt;0;1518;7;1511;481;377;161;291;167;11;23;
G30200;Sankt Pölten Stadt;39531;25109;429;24680;6965;8214;4066;3021;1950;238;226;
G30201;St. Pölten;39531;22074;402;21672;6181;7141;3715;2558;1663;219;195;
G30299;Wahlkarten - Sankt Pölten Stadt;0;3035;27;3008;784;1073;351;463;287;19;31;
G30300;Waidhofen an der Ybbs Stadt;8943;6030;109;5921;2630;1170;775;775;491;33;47;
G30301;Waidhofen an der Ybbs;8943;5114;97;5017;2336;943;695;592;384;29;38;
G30399;Wahlkarten - Waidhofen an der Ybbs Stadt;0;916;12;904;294;227;80;183;107;4;9;
G30400;Wiener Neustadt Stadt;31475;17984;252;17732;4954;4983;3888;2009;1561;146;191;
G30401;Wiener Neustadt;31475;15861;236;15625;4337;4374;3549;1695;1371;129;170;
G30499;Wahlkarten - Wiener Neustadt Stadt;0;2123;16;2107;617;609;339;314;190;17;21;
G30500;Amstetten;90688;62319;1474;60845;26127;13433;10566;5837;4066;336;480;
G30501;Allhartsberg;1716;1184;36;1148;593;204;180;96;68;2;5;
G30502;Amstetten;17382;9934;212;9722;3127;2681;2063;995;704;61;91;
G30503;Ardagger;2813;1874;66;1808;954;218;346;137;122;10;21;
G30504;Aschbach-Markt;2922;1628;44;1584;809;228;299;118;105;9;16;
G30506;Behamberg;2677;1803;52;1751;761;359;338;182;91;5;15;
G30507;Biberbach;1822;1250;33;1217;677;162;190;99;70;6;13;
G30508;Ennsdorf;2272;1314;26;1288;299;526;250;120;77;6;10;
G30509;Ernsthofen;1854;1075;25;1050;420;329;143;83;58;11;6;
G30510;Ertl;1020;601;17;584;360;32;131;37;20;0;4;
G30511;Euratsfeld;2112;1513;45;1468;853;136;250;109;110;5;5;
G30512;Ferschnitz;1453;986;28;958;507;114;179;90;56;5;7;
G30514;Haag;4478;2592;55;2537;1159;538;382;257;162;22;17;
G30515;Haidershofen;2960;1923;51;1872;761;466;337;173;110;16;9;
G30516;Hollenstein an der Ybbs;1353;852;10;842;432;228;90;45;43;1;3;
G30517;Kematen an der Ybbs;1920;1176;39;1137;364;396;218;94;45;9;11;
G30520;Neuhofen an der Ybbs;2304;1370;49;1321;687;149;264;102;102;9;8;
G30521;Neustadtl an der Donau;1728;1199;38;1161;662;184;213;46;49;1;6;
G30522;Oed-Oehling;1511;865;16;849;421;109;162;105;44;1;7;
G30524;Opponitz;699;445;16;429;240;91;47;22;25;2;2;
G30526;St. Georgen am Reith;444;265;7;258;119;52;48;22;14;1;2;
G30527;St. Georgen am Ybbsfelde;2253;1366;21;1345;686;202;262;104;72;7;12;
G30529;St. Pantaleon-Erla;2108;1272;28;1244;407;399;213;124;85;8;8;
G30530;St. Peter in der Au;4108;2493;75;2418;1267;327;430;230;143;10;11;
G30531;St. Valentin;7465;4397;91;4306;1173;1551;729;438;344;32;39;
G30532;Seitenstetten;2670;1732;36;1696;783;239;328;194;121;13;18;
G30533;Sonntagberg;3092;1844;56;1788;599;611;275;148;135;5;15;
G30534;Strengberg;1635;990;33;957;476;203;141;67;58;0;12;
G30536;Viehdorf;1107;714;21;693;404;78;131;32;41;1;6;
G30538;Wallsee-Sindelburg;1714;945;25;920;457;158;149;74;71;6;5;
G30539;Weistrach;1839;1148;18;1130;649;132;192;95;56;2;4;
G30541;Winklarn;1377;829;12;817;352;137;161;84;68;7;8;
G30542;Wolfsbach;1583;967;22;945;589;110;136;54;50;2;4;
G30543;Ybbsitz;2814;1835;45;1790;1007;222;272;154;122;8;5;
G30544;Zeillern;1483;938;28;910;497;101;193;54;50;9;6;
G30599;Wahlkarten - Amstetten;0;7000;98;6902;2576;1761;824;1053;575;44;69;
G30600;Baden;107585;69786;1222;68564;22000;17614;13128;8133;6473;443;773;
G30601;Alland;1990;1062;18;1044;423;171;217;119;99;6;9;
G30602;Altenmarkt an der Triesting;1542;981;24;957;476;151;196;63;52;8;11;
G30603;Bad Vöslau;8799;5164;84;5080;1586;1316;821;725;525;35;72;
G30604;Baden;19026;11073;137;10936;3932;2024;1571;1893;1312;61;143;
G30605;Berndorf;6446;3543;80;3463;932;1113;735;347;263;27;46;
G30607;Ebreichsdorf;8159;4350;74;4276;1243;1135;1098;383;351;25;41;
G30608;Enzesfeld-Lindabrunn;3317;1993;54;1939;580;547;423;175;170;14;30;
G30609;Furth an der Triesting;680;446;4;442;264;39;74;28;26;9;2;
G30612;Günselsdorf;1308;718;20;698;198;250;156;38;47;5;4;
G30613;Heiligenkreuz;1138;693;9;684;298;99;124;76;80;6;1;
G30614;Hernstein;1278;925;20;905;425;183;153;53;80;3;8;
G30615;Hirtenberg;1643;875;16;859;187;315;212;70;62;6;7;
G30616;Klausen-Leopoldsdorf;1362;719;10;709;266;133;162;73;67;2;6;
G30618;Kottingbrunn;5641;3157;43;3114;946;856;643;318;297;27;27;
G30620;Leobersdorf;3559;1910;45;1865;579;487;422;170;166;17;24;
G30621;Mitterndorf an der Fischa;1964;970;20;950;213;316;303;50;50;7;11;
G30623;Oberwaltersdorf;3426;1926;21;1905;674;421;365;193;221;17;14;
G30625;Pfaffstätten;2662;1712;34;1678;634;324;226;282;187;9;16;
G30626;Pottendorf;5266;2840;42;2798;837;789;689;242;214;11;16;
G30627;Pottenstein;2170;1252;21;1231;403;368;233;133;74;6;14;
G30629;Reisenberg;1302;850;23;827;300;231;198;46;43;3;6;
G30631;Schönau an der Triesting;1603;935;34;901;291;253;183;85;74;6;9;
G30633;Seibersdorf;1205;730;10;720;342;144;154;40;36;2;2;
G30635;Sooß;785;504;19;485;214;77;78;64;46;2;4;
G30636;Tattendorf;1083;710;17;693;278;148;117;76;60;3;11;
G30637;Teesdorf;1402;906;19;887;260;325;145;89;55;5;8;
G30639;Traiskirchen;13459;8061;175;7886;1997;2527;1690;822;711;54;85;
G30641;Trumau;2664;1633;35;1598;392;564;345;133;128;12;24;
G30645;Weissenbach an der Triesting;1305;753;19;734;288;175;160;55;46;6;4;
G30646;Blumau-Neurißhof;1401;717;17;700;195;171;216;55;47;5;11;
G30699;Wahlkarten - Baden;0;7678;78;7600;2347;1962;1019;1237;884;44;107;
G30700;Bruck an der Leitha;73148;46519;832;45687;14997;12894;9518;4362;3181;312;423;
G30701;Au am Leithaberge;771;457;7;450;245;45;123;12;23;0;2;
G30702;Bad Deutsch-Altenburg;1189;661;11;650;230;142;193;41;33;6;5;
G30703;Berg;500;349;4;345;144;108;54;17;17;0;5;
G30704;Bruck an der Leitha;5814;3324;57;3267;947;1012;687;381;200;19;21;
G30706;Enzersdorf an der Fischa;2543;1484;25;1459;533;359;318;128;99;4;18;
G30708;Göttlesbrunn-Arbesthal;1127;746;18;728;405;86;126;42;66;1;2;
G30709;Götzendorf an der Leitha;1539;980;18;962;352;288;155;69;83;6;9;
G30710;Hainburg a.d. Donau;3765;1931;35;1896;759;449;439;127;93;12;17;
G30711;Haslau-Maria Ellend;1506;842;7;835;305;215;158;81;56;10;10;
G30712;Höflein;993;660;14;646;315;94;144;46;42;2;3;
G30713;Hof am Leithaberge;1199;782;22;760;321;161;183;57;33;2;3;
G30715;Hundsheim;476;341;7;334;114;125;63;23;7;2;0;
G30716;Mannersdorf am Leithagebirge;2957;1772;40;1732;456;691;307;147;106;7;18;
G30718;Petronell-Carnuntum;952;583;15;568;198;184;108;47;27;2;2;
G30719;Prellenkirchen;1191;769;16;753;388;141;140;42;34;1;7;
G30721;Rohrau;1219;719;16;703;305;151;145;51;38;5;8;
G30722;Scharndorf;945;669;13;656;338;134;88;51;40;2;3;
G30724;Sommerein;1634;957;10;947;293;294;229;69;50;6;6;
G30726;Trautmannsdorf an der Leitha;2341;1484;34;1450;620;321;270;111;107;9;12;
G30728;Wolfsthal;636;355;10;345;168;65;69;20;20;1;2;
G30729;Ebergassing;2691;1422;25;1397;360;477;335;119;89;9;8;
G30730;Fischamend;4091;2069;46;2023;541;571;485;224;154;32;16;
G30731;Gramatneusiedl;2339;1208;14;1194;363;338;248;123;87;14;21;
G30732;Himberg;5571;3075;67;3008;950;896;626;274;218;23;21;
G30733;Klein-Neusiedl;636;330;4;326;81;153;64;10;11;2;5;
G30734;Lanzendorf;1386;761;16;745;202;275;136;50;70;4;8;
G30735;Leopoldsdorf;3988;2355;31;2324;733;594;462;247;244;15;29;
G30736;Maria-Lanzendorf;1617;870;18;852;258;210;214;89;69;5;7;
G30737;Moosbrunn;1351;767;16;751;296;192;144;48;57;7;7;
G30738;Rauchenwarth;565;382;5;377;196;63;55;29;28;2;4;
G30739;Schwadorf;1553;862;18;844;242;295;178;56;60;4;9;
G30740;Schwechat;12742;6577;126;6451;1555;1992;1517;811;449;56;71;
G30741;Zwölfaxing;1321;708;14;694;194;177;200;70;42;2;9;
G30799;Wahlkarten - Bruck an der Leitha;0;5268;53;5215;1590;1596;855;650;429;40;55;
G30800;Gänserndorf;78447;50207;944;49263;18383;12671;10576;3911;3036;259;427;
G30801;Aderklaa;149;104;3;101;70;7;12;7;5;0;0;
G30802;Andlersdorf;102;54;1;53;36;7;6;4;0;0;0;
G30803;Angern an der March;2538;1557;26;1531;503;547;322;72;69;5;13;
G30804;Auersthal;1479;917;28;889;380;239;125;79;55;4;7;
G30805;Bad Pirawarth;1326;782;20;762;378;180;112;46;39;5;2;
G30808;Deutsch-Wagram;6644;3698;58;3640;1142;909;819;430;270;24;46;
G30810;Drösing;917;519;6;513;212;160;99;27;13;0;2;
G30811;Dürnkrut;1800;1026;21;1005;332;304;265;40;45;7;12;
G30812;Ebenthal;682;436;12;424;179;89;105;34;14;1;2;
G30813;Eckartsau;949;591;8;583;306;97;122;25;28;3;2;
G30814;Engelhartstetten;1584;949;18;931;397;185;229;55;55;6;4;
G30817;Gänserndorf;8248;4394;82;4312;1340;1192;962;462;283;24;49;
G30819;Glinzendorf;217;149;3;146;60;32;35;12;6;0;1;
G30821;Groß-Enzersdorf;8442;4681;65;4616;1554;1194;960;469;377;20;42;
G30822;Großhofen;63;53;2;51;33;2;9;2;5;0;0;
G30824;Groß-Schweinbarth;1013;630;25;605;303;149;73;40;35;1;4;
G30825;Haringsee;915;549;7;542;235;122;101;35;35;8;6;
G30826;Hauskirchen;1022;584;10;574;299;113;114;20;22;4;2;
G30827;Hohenau an der March;2137;1135;12;1123;308;464;244;52;36;12;7;
G30828;Hohenruppersdorf;748;479;18;461;266;67;66;32;23;1;6;
G30829;Jedenspeigen;922;598;11;587;274;183;87;22;19;0;2;
G30830;Lassee;2106;1310;28;1282;468;277;373;79;73;5;7;
G30831;Leopoldsdorf im Marchfelde;2101;1186;25;1161;336;375;289;67;79;8;7;
G30834;Mannsdorf an der Donau;279;191;6;185;95;34;30;13;12;0;1;
G30835;Marchegg;2108;1007;16;991;301;307;252;73;43;7;8;
G30836;Markgrafneusiedl;712;440;16;424;142;115;106;23;34;2;2;
G30838;Matzen-Raggendorf;2109;1358;29;1329;545;316;251;113;83;8;13;
G30841;Neusiedl an der Zaya;1009;592;12;580;294;89;140;23;32;0;2;
G30842;Obersiebenbrunn;1339;627;6;621;180;180;172;44;37;3;5;
G30844;Orth an der Donau;1618;815;11;804;327;144;199;64;65;2;3;
G30845;Palterndorf-Dobermannsdorf;1055;624;16;608;296;99;170;15;23;3;2;
G30846;Parbasdorf;130;103;1;102;67;9;13;8;5;0;0;
G30848;Prottes;1099;602;13;589;251;146;108;33;48;1;2;
G30849;Raasdorf;425;291;5;286;151;68;30;16;13;2;6;
G30850;Ringelsdorf-Niederabsdorf;1034;617;10;607;226;236;104;17;18;1;5;
G30852;Schönkirchen-Reyersdorf;1506;929;15;914;356;216;195;59;79;7;2;
G30854;Spannberg;791;521;14;507;255;53;144;21;26;3;5;
G30856;Strasshof an der Nordbahn;7474;3909;71;3838;1003;1144;1003;336;273;26;53;
G30857;Sulz im Weinviertel;994;614;12;602;339;91;122;23;24;0;3;
G30858;Untersiebenbrunn;1335;809;17;792;211;235;260;35;45;2;4;
G30859;Velm-Götzendorf;630;461;14;447;205;84;103;24;20;4;7;
G30860;Weikendorf;1544;941;19;922;357;223;204;78;45;6;9;
G30863;Zistersdorf;4403;2595;80;2515;1282;443;519;122;126;7;16;
G30865;Weiden an der March;749;463;5;458;272;73;76;23;14;0;0;
G30899;Wahlkarten - Gänserndorf;0;5317;67;5250;1817;1472;846;637;385;37;56;
G30900;Gmünd;30608;20033;491;19542;8631;5073;3275;1316;1041;82;124;
G30902;Amaliendorf-Aalfang;921;483;26;457;104;184;109;37;16;4;3;
G30903;Brand-Nagelberg;1320;741;19;722;205;321;121;36;31;6;2;
G30904;Eggern;578;334;4;330;159;61;79;19;10;2;0;
G30906;Eisgarn;560;300;6;294;173;55;51;7;7;1;0;
G30908;Gmünd;4177;2177;40;2137;789;677;381;153;120;4;13;
G30909;Großdietmanns;1849;1074;47;1027;504;216;183;48;65;3;8;
G30910;Bad Großpertholz;1118;628;17;611;306;130;94;35;33;8;5;
G30912;Großschönau;993;667;28;639;376;61;113;57;27;2;3;
G30913;Moorbad Harbach;602;364;4;360;149;62;68;34;37;6;4;
G30915;Haugschlag;383;231;1;230;117;36;52;15;8;1;1;
G30916;Heidenreichstein;3355;1722;36;1686;724;493;271;100;82;6;10;
G30917;Hirschbach;495;309;3;306;138;90;37;18;22;0;1;
G30920;Hoheneich;1207;671;14;657;292;182;101;47;33;2;0;
G30921;Kirchberg am Walde;1093;638;19;619;350;95;111;35;27;0;1;
G30925;Litschau;1942;994;17;977;508;215;178;41;30;2;3;
G30929;Reingers;529;328;4;324;193;41;58;15;10;2;5;
G30932;St. Martin;920;481;21;460;238;98;78;27;15;0;4;
G30935;Schrems;4472;2333;81;2252;840;775;380;119;131;2;5;
G30939;Unserfrau-Altweitra;835;527;12;515;302;58;91;28;29;1;6;
G30940;Waldenstein;1002;610;14;596;366;79;103;20;25;1;2;
G30942;Weitra;2257;1221;35;1186;660;177;182;82;66;6;13;
G30999;Wahlkarten - Gmünd;0;3200;43;3157;1138;967;434;343;217;23;35;
G31000;Hollabrunn;41443;28194;627;27567;13611;5061;4655;2232;1654;127;227;
G31001;Alberndorf im Pulkautal;622;337;12;325;152;62;64;22;20;1;4;
G31008;Göllersdorf;2353;1487;32;1455;710;264;246;130;83;7;15;
G31009;Grabern;1249;775;23;752;426;103;118;61;37;3;4;
G31014;Guntersdorf;931;617;27;590;285;104;130;41;25;2;3;
G31015;Hadres;1440;894;25;869;436;169;162;42;47;6;7;
G31016;Hardegg;1104;751;18;733;443;114;120;27;26;2;1;
G31018;Haugsdorf;1304;753;32;721;310;173;158;34;36;5;5;
G31019;Heldenberg;1054;608;12;596;334;76;106;45;27;4;4;
G31021;Hohenwarth-Mühlbach a.M.;1084;685;11;674;375;123;114;30;27;1;4;
G31022;Hollabrunn;9184;5436;106;5330;2443;859;976;578;404;26;44;
G31025;Mailberg;480;291;9;282;124;87;41;17;10;0;3;
G31026;Maissau;1628;965;10;955;514;148;160;61;62;3;7;
G31028;Nappersdorf-Kammersdorf;1014;590;10;580;288;83;130;34;41;0;4;
G31033;Pernersdorf;850;515;16;499;220;142;85;24;28;0;0;
G31035;Pulkau;1274;739;23;716;411;133;98;35;27;6;6;
G31036;Ravelsbach;1331;782;17;765;397;131;140;42;44;6;5;
G31037;Retz;3523;1974;41;1933;960;332;283;187;146;7;18;
G31038;Retzbach;836;534;10;524;268;63;116;46;23;3;5;
G31041;Schrattenthal;737;499;9;490;298;101;36;28;24;0;3;
G31042;Seefeld-Kadolz;814;430;9;421;186;126;83;13;9;1;3;
G31043;Sitzendorf an der Schmida;1800;1079;21;1058;620;173;134;61;52;7;11;
G31051;Wullersdorf;1978;1220;22;1198;615;191;247;69;55;11;10;
G31052;Zellerndorf;2062;1322;31;1291;629;300;216;71;58;5;12;
G31053;Ziersdorf;2791;1666;43;1623;778;325;272;124;104;7;13;
G31099;Wahlkarten - Hollabrunn;0;3245;58;3187;1389;679;420;410;239;14;36;
G31100;Horn;25706;18365;341;18024;9810;2771;2908;1302;1017;79;137;
G31101;Altenburg;673;431;12;419;218;55;89;24;31;2;0;
G31102;Brunn an der Wild;699;452;9;443;317;36;60;13;13;4;0;
G31103;Burgschleinitz-Kühnring;1155;733;11;722;436;96;114;37;29;6;4;
G31104;Drosendorf-Zissersdorf;1004;631;8;623;352;61;137;34;35;4;0;
G31105;Eggenburg;2856;1600;32;1568;727;348;226;146;109;3;9;
G31106;Gars am Kamp;2951;1802;25;1777;817;315;348;154;125;7;11;
G31107;Geras;1098;706;12;694;432;73;113;32;36;3;5;
G31109;Horn;5180;2747;63;2684;1336;412;478;240;184;11;23;
G31110;Irnfritz-Messern;1175;805;13;792;491;84;164;22;24;0;7;
G31111;Japons;593;400;5;395;280;22;58;13;18;1;3;
G31113;Langau;577;400;6;394;243;61;53;20;15;1;1;
G31114;Meiseldorf;754;492;11;481;277;74;84;20;19;3;4;
G31117;Pernegg;601;410;20;390;224;46;72;23;25;0;0;
G31119;Röhrenbach;454;317;7;310;231;13;48;11;5;0;2;
G31120;Röschitz;893;588;11;577;347;93;88;15;28;4;2;
G31121;Rosenburg-Mold;671;403;11;392;217;53;81;13;19;2;7;
G31123;St. Bernhard-Frauenhofen;1058;721;11;710;458;56;105;45;35;5;6;
G31124;Sigmundsherberg;1375;863;20;843;381;234;137;44;36;1;10;
G31129;Weitersfeld;1323;936;11;925;651;91;100;36;42;1;4;
G31130;Straning-Grafenberg;616;391;13;378;215;73;57;25;7;0;1;
G31199;Wahlkarten - Horn;0;2537;30;2507;1160;475;296;335;182;21;38;
G31200;Korneuburg;70026;47720;720;47000;18787;9582;7533;5967;4350;305;476;
G31201;Bisamberg;3678;2275;29;2246;939;389;209;352;321;10;26;
G31202;Enzersfeld im Weinviertel;1408;890;21;869;383;193;128;81;78;2;4;
G31203;Ernstbrunn;2584;1503;33;1470;784;210;261;124;72;5;14;
G31204;Großmugl;1320;794;14;780;396;81;150;70;68;6;9;
G31205;Großrußbach;1763;1131;18;1113;575;147;166;134;75;5;11;
G31206;Hagenbrunn;1678;1071;11;1060;462;187;191;102;109;3;6;
G31207;Harmannsdorf;3248;2043;46;1997;886;312;357;234;184;11;13;
G31208;Hausleiten;2964;1789;42;1747;823;297;318;147;140;8;14;
G31213;Korneuburg;9664;5520;84;5436;1859;1271;882;730;578;52;64;
G31214;Langenzersdorf;6395;3897;46;3851;1464;684;544;634;443;29;53;
G31215;Leitzersdorf;988;599;14;585;283;80;112;57;42;3;8;
G31216;Leobendorf;3868;2355;37;2318;969;513;306;276;228;8;18;
G31224;Rußbach;1140;653;13;640;338;101;100;43;51;3;4;
G31226;Sierndorf;3161;1875;34;1841;868;283;326;190;155;6;13;
G31227;Spillern;1827;1056;21;1035;318;302;178;116;90;14;17;
G31228;Stetteldorf am Wagram;828;556;11;545;301;81;87;39;32;3;2;
G31229;Stetten;1066;629;7;622;217;166;115;67;55;0;2;
G31230;Stockerau;12653;6715;100;6615;2306;1554;1116;1002;515;54;68;
G31234;Niederhollabrunn;1254;794;13;781;348;132;153;90;53;0;5;
G31235;Gerasdorf bei Wien;8539;5109;60;5049;1916;1150;1037;468;392;40;46;
G31299;Wahlkarten - Korneuburg;0;6466;66;6400;2352;1449;797;1011;669;43;79;
G31300;Krems Land;46184;32906;685;32221;15233;5679;5409;3072;2365;178;285;
G31301;Aggsbach;540;326;5;321;116;101;61;23;12;5;3;
G31302;Albrechtsberg an der Großen Krems;859;538;12;526;296;91;87;27;19;4;2;
G31303;Bergern im Dunkelsteinerwald;1051;646;15;631;320;103;107;50;46;1;4;
G31304;Dürnstein;697;497;15;482;278;81;44;40;35;3;1;
G31308;Grafenegg;2464;1554;36;1518;721;252;250;149;115;10;21;
G31309;Furth bei Göttweig;2333;1452;21;1431;626;320;210;153;96;11;15;
G31310;Gedersdorf;1770;1141;21;1120;448;258;251;77;74;5;7;
G31311;Gföhl;3159;1866;51;1815;914;286;387;118;83;11;16;
G31315;Hadersdorf-Kammern;1616;991;35;956;416;197;157;102;70;7;7;
G31319;Jaidhof;954;626;15;611;344;86;88;60;22;4;7;
G31321;Krumau am Kamp;633;416;11;405;219;61;93;15;16;0;1;
G31322;Langenlois;6113;3649;63;3586;1583;569;699;400;286;14;35;
G31323;Lengenfeld;1139;743;11;732;318;140;133;69;62;4;6;
G31324;Lichtenau im Waldviertel;1709;1068;27;1041;635;103;211;43;43;5;1;
G31326;Maria Laach am Jauerling;763;523;11;512;291;70;78;33;37;1;2;
G31327;Mautern an der Donau;2862;1719;27;1692;788;284;266;183;152;7;12;
G31330;Mühldorf;1116;711;24;687;357;146;101;41;38;2;2;
G31333;Paudorf;2098;1312;21;1291;433;383;247;119;86;7;16;
G31336;Rastenfeld;1260;807;22;785;448;82;166;42;37;6;4;
G31337;Rohrendorf bei Krems;1616;1066;24;1042;445;205;160;105;112;4;11;
G31338;Rossatz-Arnsdorf;911;599;14;585;312;102;61;53;48;3;6;
G31340;St. Leonhard am Hornerwald;921;613;11;602;371;53;116;35;19;4;4;
G31343;Senftenberg;1605;959;26;933;405;200;146;87;82;2;11;
G31344;Spitz;1333;860;28;832;484;112;109;43;74;4;6;
G31346;Straß im Straßertale;1354;865;14;851;421;103;149;97;66;6;9;
G31347;Stratzing;691;452;1;451;254;61;55;37;39;2;3;
G31350;Weinzierl am Walde;1054;672;17;655;408;75;121;15;30;4;2;
G31351;Weißenkirchen in der Wachau;1214;857;14;843;458;138;106;65;70;4;2;
G31355;Schönberg am Kamp;1532;1016;18;998;450;130;189;122;88;9;10;
G31356;Droß;817;567;20;547;230;86;104;69;48;4;6;
G31399;Wahlkarten - Krems Land;0;3795;55;3740;1444;801;457;600;360;25;53;
G31400;Lilienfeld;20130;14173;355;13818;5582;3933;2263;1123;728;89;100;
G31401;Annaberg;422;228;2;226;128;43;25;15;14;1;0;
G31402;Eschenau;1022;645;14;631;326;108;90;57;40;6;4;
G31403;Hainfeld;2939;1777;43;1734;675;510;305;129;94;8;13;
G31404;Hohenberg;1204;727;25;702;193;295;106;67;31;5;5;
G31405;Kaumberg;833;538;12;526;238;53;149;45;36;1;4;
G31406;Kleinzell;675;449;14;435;262;49;88;19;12;1;4;
G31407;Lilienfeld;2018;1181;38;1143;450;303;167;127;76;9;11;
G31408;Mitterbach am Erlaufsee;401;231;8;223;141;31;29;10;11;1;0;
G31409;Ramsau;650;386;10;376;194;73;56;27;22;0;4;
G31410;Rohrbach an der Gölsen;1261;826;26;800;356;167;138;73;55;4;7;
G31411;St. Aegyd am Neuwalde;1553;922;35;887;334;331;123;45;35;12;7;
G31412;St. Veit an der Gölsen;3077;2022;56;1966;754;589;333;152;109;12;17;
G31413;Traisen;2478;1442;29;1413;352;608;286;100;46;13;8;
G31414;Türnitz;1597;982;23;959;484;184;169;70;43;5;4;
G31499;Wahlkarten - Lilienfeld;0;1817;20;1797;695;589;199;187;104;11;12;
G31500;Melk;61932;42023;990;41033;17711;9256;7734;3411;2436;216;269;
G31502;Artstetten-Pöbring;961;605;11;594;352;101;74;30;27;5;5;
G31503;Bergland;1525;984;17;967;508;162;181;65;41;5;5;
G31504;Bischofstetten;981;687;9;678;328;157;110;49;31;0;3;
G31505;Blindenmarkt;1979;1209;37;1172;480;185;347;66;74;13;7;
G31506;Dorfstetten;478;316;11;305;136;77;75;6;8;1;2;
G31507;Dunkelsteinerwald;1973;1211;25;1186;521;180;314;75;84;10;2;
G31508;Erlauf;866;489;8;481;203;118;97;34;25;3;1;
G31509;Golling an der Erlauf;1183;675;25;650;96;304;167;34;32;7;10;
G31511;Hofamt Priel;1391;908;29;879;364;246;151;60;49;7;2;
G31513;Hürm;1488;945;16;929;577;81;149;65;55;1;1;
G31514;Kilb;2078;1353;31;1322;807;144;180;111;68;5;7;
G31515;Kirnberg an der Mank;859;595;13;582;359;40;108;40;27;2;6;
G31516;Klein-Pöchlarn;838;514;15;499;155;187;82;38;31;5;1;
G31517;Krummnußbaum;1182;680;17;663;222;202;125;58;48;4;4;
G31519;Leiben;1111;666;14;652;205;219;130;61;25;4;8;
G31520;Loosdorf;3029;1715;30;1685;502;587;351;108;111;16;10;
G31521;Mank;2564;1566;29;1537;837;196;270;150;67;7;10;
G31522;Marbach an der Donau;1358;720;25;695;203;251;164;42;28;1;6;
G31523;Maria Taferl;701;414;9;405;180;98;67;36;19;0;5;
G31524;Melk;4158;2333;40;2293;1011;408;388;286;179;9;12;
G31525;Münichreith-Laimbach;1358;694;25;669;317;149;131;31;37;3;1;
G31527;Neumarkt an der Ybbs;1544;832;17;815;281;234;195;52;43;4;6;
G31528;Nöchling;831;516;11;505;233;127;83;36;23;1;2;
G31530;Persenbeug-Gottsdorf;1797;970;17;953;281;363;164;81;55;4;5;
G31531;Petzenkirchen;1063;655;19;636;195;236;138;32;28;1;6;
G31533;Pöchlarn;3037;1504;44;1460;489;398;305;146;88;19;15;
G31534;Pöggstall;2018;1119;37;1082;581;163;219;50;56;5;8;
G31535;Raxendorf;870;581;11;570;343;82;104;19;18;1;3;
G31537;Ruprechtshofen;1862;1083;35;1048;535;114;245;84;63;4;3;
G31539;St. Leonhard am Forst;2480;1475;38;1437;651;198;379;109;90;6;4;
G31540;St. Martin-Karlsbach;1394;891;20;871;393;191;156;62;55;7;7;
G31541;St. Oswald;901;568;16;552;344;83;70;22;26;3;4;
G31542;Schönbühel-Aggsbach;838;529;14;515;219;90;115;43;42;1;5;
G31543;Schollach;803;488;17;471;218;101;96;38;14;2;2;
